grams,counts,std
0.0,4599.3,0.1
5.0,4599.5,0.1
10.0,4698.8,49.3
20.0,4907.8,21.9
50.0,6321.8,18.3
100.0,9926.8,124.7
200.0,14671.7,192.2
300.0,19283.8,751.8
