grams,counts,std
0.0,4607.8,0.1
5.0,4717.4,26.0
10.0,5171.5,2.2
20.0,5366.6,21.9
50.0,7011.9,18.5
100.0,9671.3,72.0
200.0,16166.0,268.6
300.0,18591.5,331.9
