grams,counts,std
0.0,4594.5,0.0
5.0,4722.7,14.7
10.0,4932.9,3.8
20.0,5708.3,12.0
50.0,6489.5,58.2
100.0,9856.4,92.1
200.0,15722.0,233.1
300.0,22099.1,247.5
